,Bedrooms,property_type,location,price,Living area,Kitchen type,Furnished,How many fireplaces?,Garden surface,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
0,1,Apartment,1160,"€375,000",76,USA hyper equipped,No,0,0,25,0,0,No,As new
1,2,Apartment,9700,"€249,000",97,Installed,No,0,0,0,0,4,0,Good
2,2,Apartment,1080,"€275,000",98,Hyper equipped,No,0,0,4,0,2,0,As new
3,3,Town-house,1785,"€435,000",213,Hyper equipped,No,0,138,7,249,2,No,Just renovated
4,5,House,1150,"€750,000",260,Installed,No,0,0,0,110,2,0,Good
5,5,Apartment block,1150,"€750,000",260,Installed,No,0,0,39,110,2,0,Good
6,6,House,1150,"€990,000",485,Hyper equipped,No,0,0,16,251,2,0,As new
7,3,Apartment,4020,"€155,000",115,USA semi equipped,No,0,0,0,0,2,No,Good
8,2,Apartment,4520,"€199,500",90,Installed,No,0,0,8,0,3,0,As new
9,2,Apartment,4520,"€212,500",90,Installed,No,0,0,8,0,3,0,As new
10,2,House,5030,"€250,000",81,Semi equipped,No,1,400,25,633,3,0,To be done up
11,2,Apartment,1140,"€275,000",84,Installed,No,0,0,6,0,0,0,Good
12,2,Apartment,1190,Make,103,Semi equipped,No,0,0,25,0,2,0,Good
13,3,House,3000,"€395,000",104,Installed,Yes,0,0,6,49,2,0,Good
14,2,House,1600,"€410,000",130,USA hyper equipped,Yes,0,70,10,250,3,No,As new
15,2,Apartment,9000,"€413,000",96,Installed,No,0,0,40,0,4,No,As new
16,3,Apartment,1150,"€649,000",150,Hyper equipped,No,1,60,0,0,3,0,As new
17,2,Apartment,6890,"€179,900",86,Installed,0,0,0,7,0,4,No,As new
18,5,House,4520,"€309,000",170,Semi equipped,No,0,600,20,891,4,0,Good
19,5,Villa,4520,"€309,000",170,Semi equipped,No,0,600,20,891,4,0,Good
20,2,Penthouse,1200,"€369,000",87,Hyper equipped,No,0,0,30,0,2,No,As new
21,4,House,1180,"€660,000",200,USA semi equipped,No,1,96,0,323,3,No,Good
22,5,House,1780,"€745,000",287,Hyper equipped,No,0,510,40,661,4,No,As new
23,6,Mansion,1200,"€2,495,000",460,Hyper equipped,0,0,0,48,561,2,0,As new
24,1,Apartment,9000,"€135,000",25,Semi equipped,No,0,0,0,0,2,0,Good
25,1,Apartment,9000,"€135,000",25,Semi equipped,No,0,0,0,0,2,0,Good
26,2,Apartment,9000,"€425,000",128,Installed,No,0,0,76,0,2,0,Good
27,2,Apartment,1050,"€594,000",131,USA hyper equipped,No,0,0,0,0,2,0,Just renovated
28,2,Town-house,1070,"€369,000",145,Hyper equipped,0,0,0,17,148,2,0,Good
29,1,Apartment,1050,"€275,000",70,Not installed,No,0,0,3,0,3,0,To renovate
30,1,Apartment,1050,"€275,000",70,Not installed,No,0,0,3,0,3,0,To be done up
31,1,Apartment,1030,"€285,000",90,Installed,No,0,0,0,0,2,0,Good
32,2,Apartment,1050,"€380,000",76,Installed,No,0,0,14,0,2,0,Good
33,2,Penthouse,1050,"€399,000",120,Not installed,No,0,0,20,0,3,0,To renovate
34,3,Apartment,1180,"€660,000",185,Hyper equipped,No,0,0,8,0,2,0,Good
35,2,Apartment,1800,"€185,000",80,Semi equipped,No,0,0,0,0,2,0,Good
36,0,Studio,8370,"€198,000",42,Installed,Yes,0,0,0,0,2,0,Good
37,2,Penthouse,1160,Make,75,Installed,No,0,0,35,0,0,0,To be done up
38,3,Apartment,4000,"€299,000",98,USA hyper equipped,No,0,0,2,0,2,No,As new
39,2,Apartment,2018,"€320,000",87,Hyper equipped,No,0,0,7,0,2,0,As new
40,4,Villa,9600,"€349,000",186,Hyper equipped,No,0,485,30,992,4,No,Good
41,2,Apartment,9000,"€359,000",105,Installed,0,0,0,8,0,0,No,As new
42,4,Villa,9400,"€460,000",225,Installed,0,0,0,0,1635,4,0,Good
43,2,Apartment,1000,"€825,000",145,Hyper equipped,No,0,0,12,0,4,No,Good
44,4,Exceptional property,3060,"€845,000",400,USA hyper equipped,No,0,1500,50,1869,4,0,Good
45,3,House,4630,"€184,000",140,Not installed,No,0,20,0,177,3,0,Good
46,4,Mixed-use building,1730,"€889,000",302,USA hyper equipped,0,0,0,0,4529,4,No,As new
47,1,Kot,3010,"€150,000",23,Installed,Yes,0,0,0,0,2,0,Good
48,2,Apartment,4280,"€209,900",109,Installed,No,0,0,8,0,4,0,Good
49,0,Studio,1040,"€250,000",46,Hyper equipped,Yes,0,0,34,0,2,No,As new
50,2,House,9600,"€119,500",115,Installed,No,0,0,0,50,2,0,Good
51,2,Apartment,1040,"€230,000",64,Semi equipped,No,0,0,2,0,2,No,To renovate
52,1,Apartment,1200,"€249,000",65,Installed,No,0,0,0,0,2,0,Good
53,1,Apartment,9255,"€259,000",69,Installed,No,0,0,0,0,3,0,Good
54,2,Apartment,8370,"€299,000",81,Installed,No,0,0,7,0,2,0,Good
55,4,House,2820,"€425,000",182,USA hyper equipped,No,0,117,30,175,2,No,As new
56,5,Apartment block,1050,"€1,390,000",350,USA hyper equipped,Yes,0,40,54,150,2,No,As new
57,3,Apartment,1050,"€1,839,000",203,Hyper equipped,No,0,0,76,0,2,No,As new
58,3,House,4577,"€295,000",120,Installed,No,0,0,0,3220,4,0,Good
59,4,House,4260,"€350,000",190,Installed,No,0,0,0,1355,4,0,As new
60,3,House,9700,"€359,000",196,Installed,No,0,667,0,921,4,No,Good
61,6,Mansion,1190,"€1,295,000",400,0,No,0,100,0,245,2,0,To renovate
62,1,Apartment,9000,"€210,000",42,Installed,No,0,0,0,0,2,0,Good
63,3,Duplex,1070,"€265,000",113,Installed,No,0,0,0,0,2,No,Good
64,2,Apartment,1050,"€435,000",115,Hyper equipped,No,0,0,0,0,3,No,Good
65,2,Apartment,1850,"€297,000",95,Semi equipped,No,0,0,9,0,3,0,Good
66,3,Apartment,1090,"€180,000",90,Semi equipped,No,0,0,9,0,0,No,To renovate
67,2,Apartment,3370,"€360,000",120,Installed,No,0,0,0,0,2,0,Good
68,2,Apartment,3000,"€495,000",80,Installed,No,0,0,10,0,2,0,Good
69,4,House,9600,"€259,500",152,Not installed,No,0,149,15,216,2,0,As new
70,2,Apartment,1160,"€245,000",80,Semi equipped,No,0,0,16,0,4,No,To renovate
71,1,Apartment,3000,"€319,000",56,Installed,No,0,0,4,0,0,0,Good
72,2,Apartment,1950,"€545,000",135,USA hyper equipped,0,0,0,0,0,2,No,As new
73,2,Apartment,1140,"€185,000",81,Semi equipped,No,0,0,10,0,2,No,To be done up
74,2,Apartment,4540,"€195,000",80,Installed,No,0,0,0,0,3,0,As new
75,3,Apartment,2610,"€244,000",120,Installed,0,0,0,0,0,2,0,Good
76,3,Apartment,2610,"€244,000",110,Semi equipped,0,0,0,0,0,3,0,Good
77,3,Apartment,6880,"€246,800",121,Installed,No,0,0,11,0,3,0,Good
78,3,Duplex,9420,"€269,000",136,Installed,No,0,0,0,0,1,No,As new
